Starting duty-cycle loop
iteration,frequency_in,frequency_out,resolution_out,ratio,read_val
0,5000,15000,12,0.687,0.6773
1,5000,15000,12,0.687,0.676
2,5000,15000,12,0.687,0.6754
3,5000,15000,12,0.687,0.6759
4,5000,15000,12,0.687,0.6734
0,10000,10000,12,0.882,0.8736
1,10000,10000,12,0.882,0.8757
2,10000,10000,12,0.882,0.8746
3,10000,10000,12,0.882,0.87575
4,10000,10000,12,0.882,0.8744
0,5000,15000,12,0.882,0.8737
1,5000,15000,12,0.882,0.8766
2,5000,15000,12,0.882,0.8765
3,5000,15000,12,0.882,0.8766
4,5000,15000,12,0.882,0.8765
0,10000,10000,12,0.702,0.69305
1,10000,10000,12,0.702,0.69075
2,10000,10000,12,0.702,0.69055
3,10000,10000,12,0.702,0.693
4,10000,10000,12,0.702,0.6907
0,5000,15000,12,0.702,0.6939
1,5000,15000,12,0.702,0.6912
2,5000,15000,12,0.702,0.6889
3,5000,15000,12,0.702,0.691
4,5000,15000,12,0.702,0.6898
0,10000,10000,12,0.908,0.90165
1,10000,10000,12,0.908,0.903
2,10000,10000,12,0.908,0.90405
3,10000,10000,12,0.908,0.9041
4,10000,10000,12,0.908,0.9033
0,5000,15000,12,0.908,0.9004
1,5000,15000,12,0.908,0.9024
2,5000,15000,12,0.908,0.9025
3,5000,15000,12,0.908,0.9023
4,5000,15000,12,0.908,0.9026
0,10000,10000,12,0.81,0.80255
1,10000,10000,12,0.81,0.80145
2,10000,10000,12,0.81,0.8014
3,10000,10000,12,0.81,0.80135
4,10000,10000,12,0.81,0.80145
0,5000,15000,12,0.81,0.8016
1,5000,15000,12,0.81,0.8016
2,5000,15000,12,0.81,0.8006
3,5000,15000,12,0.81,0.8002
4,5000,15000,12,0.81,0.8001
0,10000,10000,12,0.295,0.28685
1,10000,10000,12,0.295,0.2847
2,10000,10000,12,0.295,0.28415
3,10000,10000,12,0.295,0.2848
4,10000,10000,12,0.295,0.2845
0,5000,15000,12,0.295,0.2862
1,5000,15000,12,0.295,0.2841
